LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 788707.0, 8893500, 1.0, 776716.0, 9408, 23.0, 788833.0, 10067200, -1828.0, 786045.0, 5822312, -957.0, -1.0, 9408, 1346.0, 789037.0, 10067200,
1, 13.0, 95139.0, 1003520, 1.0, 92000.0, 4096, 23.0, 95153.0, 1204224, -1828.0, 92658.0, 1003520, -442.0, -1.0, 4096, 1346.0, 95593.0, 1204224,
2, 13.0, 1983731.0, 23514624, 1.0, 1980804.0, 110592, 23.0, 1983739.0, 26873856, -1828.0, 1982241.0, 23514624, -1840.0, 1977845.0, 110592, 1346.0, 1984955.0, 26873856,
3, 13.0, 65587.0, 752640, 1.0, 64792.0, 12288, 23.0, 65593.0, 802816, -1828.0, 64159.0, 752640, -1252.0, -1.0, 12288, 1382.0, 66327.0, 802816,
4, 13.0, 91827.0, 1053696, 1.0, 91032.0, 18432, 23.0, 91837.0, 1204224, -1828.0, 91414.0, 1053696, -1840.0, 91030.0, 18432, 1382.0, 92273.0, 1204224,
5, 13.0, 512627.0, 5840640, 1.0, 511940.0, 110592, 23.0, 512627.0, 6230016, -1828.0, 511969.0, 5840640, -1840.0, 506244.0, 110592, 1382.0, 513931.0, 6230016,
6, 13.0, 26227.0, 301056, 1.0, 25432.0, 3072, 23.0, 26227.0, 200704, -1828.0, 25667.0, 301056, -332.0, -1.0, 3072, 1382.0, 27408.0, 200704,
7, 13.0, 62403.0, 691200, 1.0, 61824.0, 12800, 23.0, 62413.0, 626688, -1288.0, -1.0, 12544, -1288.0, -1.0, 12800, 1418.0, 63737.0, 626688,
8, 13.0, 39347.0, 451584, 1.0, 38552.0, 6144, 23.0, 39349.0, 401408, -1828.0, 38474.0, 451584, -626.0, -1.0, 6144, 1382.0, 40381.0, 401408,
9, 13.0, 180379.0, 2007040, 1.0, 179592.0, 32768, 23.0, 180387.0, 2207744, -1828.0, 180018.0, 2007040, -1840.0, 91851.0, 32768, 1382.0, 181414.0, 2207744,
