LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 788839, 0, 85.89838991226347, 86.15384615384613, 85.80636582941307,
1, 95159, 0, 80.34832928747325, 81.2698412698413, 80.01953601953605,
2, 708479, 0, 90.31371632549649, 91.42857142857167, 89.91761021440603,
3, 361607, 0, 84.57653382447427, 85.54720133667504, 84.23109054687981,
4, 348919, 0, 87.65205295976048, 88.65800865800861, 87.29403929403908,
5, 708479, 0, 90.31371632549649, 91.42857142857167, 89.91761021440603,
6, 361607, 0, 84.57653382447427, 85.54720133667504, 84.23109054687981,
7, 348919, 0, 87.65205295976048, 88.65800865800861, 87.29403929403908,
8, 708479, 0, 90.31371632549649, 91.42857142857167, 89.91761021440603,
9, 361607, 0, 84.57653382447427, 85.54720133667504, 84.23109054687981,
10, 192939, 0, 85.01912398169765, 88.65800865800863, 83.7768373948151,
11, 683519, 0, 86.80590548951194, 91.4285714285711, 85.24926108374399,
12, 333739, 0, 91.63887548853046, 95.84649584649584, 90.20846667905464,
13, 352599, 0, 86.73724731682923, 90.71982281284632, 85.38336264738426,
14, 683519, 0, 86.80590548951194, 91.4285714285711, 85.24926108374399,
15, 333739, 0, 91.63887548853046, 95.84649584649584, 90.20846667905464,
16, 352599, 0, 86.73724731682923, 90.71982281284632, 85.38336264738426,
17, 683519, 0, 86.80590548951194, 91.4285714285711, 85.24926108374399,
18, 333739, 0, 91.63887548853046, 95.84649584649584, 90.20846667905464,
19, 352599, 0, 86.73724731682923, 90.71982281284632, 85.38336264738426,
20, 683519, 0, 86.80590548951194, 91.4285714285711, 85.24926108374399,
21, 333739, 0, 91.63887548853046, 95.84649584649584, 90.20846667905464,
22, 213236, 0, 82.32327427960435, 95.49455032931188, 78.41705775217252,
23, 656639, 0, 76.9925984553809, 96.24060150375907, 71.80645915305986,
24, 377695, 0, 80.97397812167667, 95.84649584649573, 76.67719667719433,
25, 379087, 0, 80.67664326834385, 95.4945503293113, 76.39564026344758,
26, 656639, 0, 76.9925984553809, 96.24060150375907, 71.80645915305986,
27, 377695, 0, 80.97397812167667, 95.84649584649573, 76.67719667719433,
