LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 788707.0, 8893500, 1.0, 776716.0, 9408, 23.0, 788833.0, 10067200, -1828.0, 786045.0, 5822312, -957.0, -1.0, 9408, 1346.0, 789037.0, 10067200,
1, 13.0, 95139.0, 1003520, 1.0, 92000.0, 4096, 23.0, 95153.0, 1204224, -1828.0, 92658.0, 1003520, -442.0, -1.0, 4096, 1346.0, 95593.0, 1204224,
2, 13.0, 708467.0, 8398080, 1.0, 705540.0, 36864, 23.0, 708473.0, 8957952, -1828.0, 707822.0, 8398080, -1840.0, 705532.0, 36864, 1346.0, 709760.0, 8957952,
3, 13.0, 361587.0, 3813376, 1.0, 358448.0, 16384, 23.0, 361597.0, 4816896, -1828.0, 360442.0, 3813376, -1656.0, -1.0, 16384, 1346.0, 362027.0, 4816896,
4, 13.0, 348899.0, 4014080, 1.0, 345760.0, 16384, 23.0, 348913.0, 4415488, -1828.0, 348178.0, 4014080, -1656.0, -1.0, 16384, 1346.0, 349633.0, 4415488,
5, 13.0, 708467.0, 8398080, 1.0, 705540.0, 36864, 23.0, 708473.0, 8957952, -1828.0, 707822.0, 8398080, -1840.0, 705532.0, 36864, 1346.0, 709760.0, 8957952,
6, 13.0, 361587.0, 3813376, 1.0, 358448.0, 16384, 23.0, 361597.0, 4816896, -1828.0, 360442.0, 3813376, -1656.0, -1.0, 16384, 1346.0, 362027.0, 4816896,
7, 13.0, 348899.0, 4014080, 1.0, 345760.0, 16384, 23.0, 348913.0, 4415488, -1828.0, 348178.0, 4014080, -1656.0, -1.0, 16384, 1346.0, 349633.0, 4415488,
8, 13.0, 708467.0, 8398080, 1.0, 705540.0, 36864, 23.0, 708473.0, 8957952, -1828.0, 707822.0, 8398080, -1840.0, 705532.0, 36864, 1346.0, 709760.0, 8957952,
9, 13.0, 361587.0, 3813376, 1.0, 358448.0, 16384, 23.0, 361597.0, 4816896, -1828.0, 360442.0, 3813376, -1656.0, -1.0, 16384, 1346.0, 362027.0, 4816896,
