LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 788839, 0, 85.89838991226347, 86.15384615384613, 85.80636582941307,
1, 59879, 0, 79.80538530480915, 81.2698412698413, 79.28765001935733,
2, 1657151, 0, 96.52918084799066, 97.95918367346904, 96.02291905063689,
3, 25279, 0, 81.01586296926303, 91.42857142857139, 77.81155015197572,
4, 32255, 0, 85.7169431095954, 97.95918367346944, 82.01233981964867,
5, 287999, 0, 83.20028888989198, 91.4285714285711, 80.58111380145333,
6, 15487, 0, 52.89597727125977, 57.14285714285712, 51.50905432595578,
7, 20807, 0, 61.5177584466766, 74.6965452847808, 57.82958344628173,
8, 15167, 0, 67.51499967033692, 76.19047619047615, 64.8429584599797,
9, 100319, 0, 81.65950617530079, 88.65800865800863, 79.39523163403766,
10, 106479, 0, 82.06438202212017, 88.65800865800863, 79.91707822693736,
11, 607487, 0, 90.15727320678702, 97.95918367346985, 87.63660302830712,
12, 31943, 0, 68.38848365317388, 73.88167388167385, 66.59756518911449,
13, 129443, 0, 84.75876309594626, 97.47182455071547, 80.94545983450377,
14, 43999, 0, 80.68062152927718, 88.65800865800861, 78.1392618680754,
15, 51519, 0, 59.628486577767426, 97.95918367346904, 52.24489795918392,
16, 17919, 0, 42.859534572241756, 97.95918367346921, 35.621521335807095,
17, 51839, 0, 24.762382431318947, 99.04761904761926, 19.484777517564584,
18, 8479, 0, 37.74029956362779, 57.142857142857295, 33.61344537815126,
19, 13055, 0, 52.5250314603053, 84.0336134453782, 46.257034924061294,
20, 21199, 0, 60.380206613519505, 91.42857142857167, 53.78151260504208,
21, 47471, 0, 57.52283850491177, 94.49981543004814, 50.399901562692214,
22, 22015, 0, 43.41282458929518, 99.2248062015504, 36.081747709654586,
23, 64511, 0, 25.0003875308087, 100.0, 19.67213114754131,
24, 6707, 0, 45.80289250037274, 85.04983388704314, 39.25376948632756,
25, 11499, 0, 19.877504876200415, 91.42857142857167, 15.496368038741018,
26, 22789, 0, 59.91194582181462, 90.7198228128463, 53.364601654615406,
27, 33539, 0, 48.85059184829601, 90.71982281284632, 41.870687452082805,
28, 21499, 0, 25.40273191001132, 90.71982281284632, 20.15996062507707,
29, 87551, 0, 24.0604251889103, 96.24060150375907, 18.932577345002066,
30, 7911, 0, 51.77600809000126, 85.04983388704314, 45.35991140642299,
31, 2179, 0, 76.36530518586508, 91.42857142857143, 72.03463203463204,
32, 19779, 0, 55.223553600620185, 90.7198228128463, 48.38390550018447,
33, 41279, 0, 69.45904697303713, 99.2248062015504, 62.668298653610435,
34, 56759, 0, 64.94829013900879, 92.78163696768343, 58.59892861116811,
35, 136079, 0, 39.18396141736995, 97.95918367346876, 32.20575901593442,
36, 10061, 0, 40.71165888082695, 75.59985234403858, 34.89223954340226,
37, 28809, 0, 52.89352368390169, 90.97370291400112, 45.946314603031055,
38, 19779, 0, 55.223553600620185, 90.7198228128463, 48.38390550018447,
39, 76911, 0, 58.581997373587654, 96.24060150375966, 51.32832080200591,
40, 41183, 0, 51.283296505839786, 95.23809523809538, 43.95604395604366,
41, 132479, 0, 24.844908033941767, 99.37888198757679, 19.549943997556504,
42, 8447, 0, 33.337279507517465, 76.1904761904764, 27.705627705627723,
43, 30819, 0, 19.7775336488468, 90.9737029140011, 15.419271680339062,
44, 34319, 0, 49.23220373554008, 91.42857142857167, 42.19780219780216,
45, 57189, 0, 15.518135772030751, 95.32402434658039, 11.915503043322548,
46, 45899, 0, 54.089776828834324, 93.8271604938273, 46.91358024691365,
47, 113159, 0, 12.119482952558537, 99.37888198757679, 9.201748332182728,
48, 9029, 0, 12.286336619042345, 75.46485260770949, 9.433106575963686,
49, 26129, 0, 6.998244971378272, 90.9737029140011, 5.2484828604231275,
50, 30099, 0, 14.742460989844623, 90.55782312925137, 11.319727891156422,
51, 84279, 0, 15.79515656331945, 97.026239067055, 12.128279883381875,
52, 42139, 0, 15.795343980635515, 97.02623906705506, 12.128279883381882,
53, 165311, 0, 11.946314176655775, 97.95918367346985, 9.070294784580604,
54, 12039, 0, 13.821745992192042, 84.89795918367317, 10.612244897959146,
55, 26129, 0, 6.998244971378272, 90.9737029140011, 5.2484828604231275,
56, 30099, 0, 14.742460989844623, 90.55782312925137, 11.319727891156422,
57, 229103, 0, 2.660479389286956, 98.43730773963343, 1.9687461547925518,
