LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 788707.0, 8893500, 1.0, 776716.0, 9408, 23.0, 788833.0, 10067200, -1828.0, 786045.0, 5822312, -957.0, -1.0, 9408, 1346.0, 789037.0, 10067200,
1, 13.0, 59859.0, 627200, 1.0, 57896.0, 4096, 23.0, 59873.0, 752640, -1828.0, 59458.0, 627200, -442.0, -1.0, 4096, 1346.0, 60973.0, 752640,
2, 13.0, 1657139.0, 19595520, 1.0, 1654698.0, 110592, 23.0, 1657147.0, 22394880, -1828.0, 1655641.0, 19595520, -1840.0, 1652225.0, 110592, 1346.0, 1658380.0, 22394880,
3, 13.0, 25267.0, 268800, 1.0, 24976.0, 12288, 23.0, 25273.0, 286720, -1828.0, 24221.0, 268800, -1252.0, -1.0, 12288, 1490.0, 26009.0, 286720,
4, 13.0, 32243.0, 338688, 1.0, 31980.0, 18432, 23.0, 32253.0, 387072, -1828.0, 31542.0, 338688, -1840.0, 31978.0, 18432, 1526.0, 33570.0, 387072,
5, 13.0, 287987.0, 3144960, 1.0, 287612.0, 110592, 23.0, 287987.0, 3354624, -1828.0, 286461.0, 3144960, -1840.0, 284412.0, 110592, 1454.0, 289302.0, 3354624,
6, 13.0, 15475.0, 172032, 1.0, 15016.0, 3072, 23.0, 15475.0, 114688, -1828.0, 14898.0, 172032, -332.0, -1.0, 3072, 1418.0, 15779.0, 114688,
7, 13.0, 20787.0, 201600, 1.0, 20616.0, 12800, 23.0, 20797.0, 182784, -516.0, -1.0, 4928, -1288.0, -1.0, 12800, 1598.0, 22013.0, 182784,
8, 13.0, 15155.0, 161280, 1.0, 14864.0, 6144, 23.0, 15157.0, 143360, -1828.0, 13833.0, 161280, -626.0, -1.0, 6144, 1490.0, 16190.0, 143360,
9, 13.0, 100299.0, 1075200, 1.0, 99876.0, 32768, 23.0, 100307.0, 1182720, -1828.0, 99283.0, 1075200, -1840.0, 51083.0, 32768, 1454.0, 100533.0, 1182720,
10, 13.0, 106459.0, 1146880, 1.0, 106008.0, 32768, 23.0, 106467.0, 1261568, -1828.0, 105621.0, 1146880, -1840.0, 54219.0, 32768, 1418.0, 107059.0, 1261568,
11, 13.0, 607475.0, 6709248, 1.0, 607048.0, 221184, 23.0, 607483.0, 7667712, -1828.0, 606427.0, 6709248, -1840.0, 605690.0, 221184, 1454.0, 608773.0, 7667712,
12, 13.0, 31923.0, 344064, 1.0, 31472.0, 8192, 23.0, 31933.0, 315392, -1828.0, 30447.0, 344064, -847.0, -1.0, 8192, 1418.0, 32088.0, 315392,
13, 13.0, 129427.0, 1344000, 1.0, 129180.0, 76800, 23.0, 129441.0, 1543680, -1288.0, -1.0, 12544, -1840.0, 123102.0, 76800, 1526.0, 130424.0, 1543680,
14, 13.0, 43979.0, 465920, 1.0, 43612.0, 16384, 23.0, 43993.0, 512512, -1828.0, 43174.0, 465920, -1656.0, -1.0, 16384, 1454.0, 45057.0, 512512,
15, 13.0, 51507.0, 376320, 1.0, 51440.0, 92160, 23.0, 51515.0, 430080, -1828.0, 50377.0, 376320, -1840.0, 51344.0, 92160, 2174.0, 51956.0, 430080,
16, 13.0, 17907.0, 94080, 1.0, 17868.0, 46080, 23.0, 17917.0, 107520, -1362.0, -1.0, 13440, -1840.0, 14017.0, 46080, 3034.0, 19015.0, 107520,
17, 13.0, 51827.0, 155520, 1.0, 51804.0, 179712, 23.0, 51837.0, 179712, -405.0, -1.0, 4032, -1840.0, 47289.0, 179712, 5270.0, 52825.0, 179712,
18, 13.0, 8467.0, 67200, 1.0, 8386.0, 7680, 23.0, 8467.0, 44800, -1828.0, 6958.0, 67200, -773.0, -1.0, 7680, 1994.0, 9045.0, 44800,
19, 13.0, 13035.0, 96000, 1.0, 12972.0, 19200, 23.0, 13047.0, 97920, -258.0, -1.0, 2240, -1840.0, 11907.0, 19200, 2102.0, 13466.0, 97920,
20, 13.0, 21187.0, 168000, 1.0, 21106.0, 30720, 23.0, 21193.0, 179200, -1828.0, 20910.0, 168000, -1840.0, 11561.0, 30720, 1994.0, 22149.0, 179200,
21, 13.0, 47455.0, 344064, 1.0, 47392.0, 81920, 23.0, 47463.0, 385280, -1828.0, 45679.0, 344064, -1840.0, 40578.0, 81920, 2174.0, 48658.0, 385280,
22, 13.0, 21999.0, 114688, 1.0, 21964.0, 57344, 23.0, 22015.0, 134848, -1436.0, -1.0, 14336, -1840.0, 21131.0, 57344, 3034.0, 22430.0, 134848,
23, 13.0, 64499.0, 193536, 1.0, 64476.0, 225792, 23.0, 64511.0, 225792, -479.0, -1.0, 4704, -1840.0, 63076.0, 225792, 5270.0, 64839.0, 225792,
24, 13.0, 6691.0, 43008, 1.0, 6642.0, 12288, 23.0, 6703.0, 43344, -1828.0, 5727.0, 43008, -1252.0, -1.0, 12288, 2462.0, 7169.0, 43344,
25, 13.0, 11487.0, 30000, 1.0, 11466.0, 38400, 23.0, 11493.0, 32000, -184.0, -1.0, 1680, -1840.0, 10722.0, 38400, 6062.0, 12468.0, 32000,
26, 13.0, 22773.0, 179200, 1.0, 22696.0, 32768, 23.0, 22783.0, 192640, -1828.0, 21039.0, 179200, -1840.0, 11663.0, 32768, 1994.0, 23382.0, 192640,
27, 13.0, 33523.0, 215040, 1.0, 33474.0, 65536, 23.0, 33527.0, 231168, -1828.0, 31555.0, 215040, -1840.0, 25751.0, 65536, 2462.0, 34251.0, 231168,
28, 13.0, 21483.0, 71680, 1.0, 21462.0, 65536, 23.0, 21487.0, 77056, -736.0, -1.0, 7168, -1840.0, 16511.0, 65536, 4726.0, 21736.0, 77056,
29, 13.0, 87539.0, 262656, 1.0, 87516.0, 294912, 23.0, 87541.0, 294912, -552.0, -1.0, 5376, -1840.0, 87028.0, 294912, 5270.0, 88866.0, 294912,
30, 13.0, 7895.0, 57344, 1.0, 7832.0, 12288, 23.0, 7907.0, 57792, -1828.0, 7589.0, 57344, -1252.0, -1.0, 12288, 2174.0, 8089.0, 57792,
31, 13.0, 2167.0, 21840, 1.0, 1974.0, 1536, 23.0, 2173.0, 23296, -442.0, -1.0, 4368, -184.0, -1.0, 1536, 1598.0, 2526.0, 23296,
32, 13.0, 19763.0, 143360, 1.0, 19700.0, 32768, 23.0, 19773.0, 154112, -1828.0, 17743.0, 143360, -1840.0, 10123.0, 32768, 2174.0, 20253.0, 154112,
33, 13.0, 41263.0, 344064, 1.0, 41172.0, 57344, 23.0, 41279.0, 404544, -1828.0, 39694.0, 344064, -1840.0, 39611.0, 57344, 1886.0, 42525.0, 404544,
34, 13.0, 56743.0, 473088, 1.0, 56652.0, 73728, 23.0, 56749.0, 520128, -1828.0, 55155.0, 473088, -1840.0, 56292.0, 73728, 1886.0, 57044.0, 520128,
35, 13.0, 136067.0, 653184, 1.0, 136032.0, 373248, 23.0, 136073.0, 746496, -810.0, -1.0, 8064, -1840.0, 132784.0, 373248, 3290.0, 136734.0, 746496,
36, 13.0, 10045.0, 64512, 1.0, 9996.0, 16384, 23.0, 10051.0, 57792, -1828.0, 8606.0, 64512, -1656.0, -1.0, 16384, 2462.0, 10239.0, 57792,
37, 13.0, 28793.0, 200000, 1.0, 28736.0, 51200, 23.0, 28803.0, 214400, -405.0, -1.0, 4032, -1840.0, 18921.0, 51200, 2282.0, 29640.0, 214400,
38, 13.0, 19763.0, 143360, 1.0, 19700.0, 32768, 23.0, 19773.0, 154112, -1828.0, 17743.0, 143360, -1840.0, 10123.0, 32768, 2174.0, 20253.0, 154112,
39, 13.0, 76899.0, 561792, 1.0, 76832.0, 135168, 23.0, 76901.0, 630784, -1828.0, 75574.0, 561792, -1840.0, 70480.0, 135168, 2174.0, 77201.0, 630784,
40, 13.0, 41171.0, 266112, 1.0, 41118.0, 84480, 23.0, 41175.0, 295680, -1828.0, 39881.0, 266112, -1840.0, 34166.0, 84480, 2462.0, 41236.0, 295680,
41, 13.0, 132467.0, 397440, 1.0, 132444.0, 460800, 23.0, 132477.0, 460800, -700.0, -1.0, 6720, -1840.0, 132198.0, 460800, 5270.0, 133793.0, 460800,
42, 13.0, 8435.0, 44352, 1.0, 8396.0, 16896, 23.0, 8437.0, 39424, -1509.0, -1.0, 14784, -1693.0, -1.0, 16896, 3034.0, 8629.0, 39424,
43, 13.0, 30803.0, 80000, 1.0, 30786.0, 102400, 23.0, 30807.0, 85760, -258.0, -1.0, 2240, -1840.0, 25304.0, 102400, 6062.0, 31678.0, 85760,
44, 13.0, 34307.0, 221760, 1.0, 34254.0, 67584, 23.0, 34307.0, 236544, -1828.0, 34186.0, 221760, -1840.0, 25591.0, 67584, 2462.0, 35415.0, 236544,
