LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 788839, 0, 85.89838991226347, 86.15384615384613, 85.80636582941307,
1, 44759, 0, 79.31067867170104, 81.2698412698413, 78.6238464377999,
2, 358559, 0, 89.22572216646553, 91.42857142857167, 88.45577779884401,
3, 265847, 0, 84.22689241054692, 85.54720133667504, 83.75964787590867,
4, 231879, 0, 87.14430083506197, 88.65800865800861, 86.60980383752651,
5, 578879, 0, 90.06412146826638, 91.42857142857167, 89.58114874815867,
6, 323303, 0, 84.46153195815278, 85.54720133667504, 84.07587354955763,
7, 330439, 0, 87.59579428174843, 88.65800865800861, 87.2180874037023,
8, 565919, 0, 90.03287446739601, 91.42857142857167, 89.53907332650488,
9, 297767, 0, 84.36842676768525, 85.54720133667504, 83.95032024505714,
10, 154659, 0, 84.11845537909977, 88.65800865800863, 82.59063097051904,
11, 483839, 0, 84.89813465104832, 91.4285714285711, 82.76319425255713,
12, 208383, 0, 89.10771672033387, 95.84649584649584, 86.90082290082344,
13, 328519, 0, 86.44532989974198, 90.71982281284632, 84.99875290572989,
14, 334079, 0, 81.97068871220793, 91.4285714285711, 79.01859912940267,
15, 208383, 0, 89.10771672033387, 95.84649584649584, 86.90082290082344,
16, 196079, 0, 83.55815768134272, 90.71982281284632, 81.24163236971295,
17, 284159, 0, 80.30916292840075, 91.4285714285711, 76.93018955154771,
18, 219779, 0, 89.4571364871075, 95.84649584649584, 87.35376836642614,
19, 196079, 0, 83.55815768134272, 90.71982281284632, 81.24163236971295,
20, 334079, 0, 81.97068871220793, 91.4285714285711, 79.01859912940267,
21, 242571, 0, 90.0574814521659, 95.84649584649584, 88.13470882436405,
22, 164216, 0, 78.39152614326775, 95.49455032931188, 73.62897572119897,
23, 306431, 0, 54.99480889895045, 96.24060150375907, 47.62421517711793,
24, 81399, 0, 26.837348534175277, 95.84649584649573, 21.299221299221767,
25, 173203, 0, 63.06280299224994, 95.4945503293113, 56.173264899596155,
26, 175103, 0, 24.06028778164036, 96.24060150375907, 18.932577345001086,
