LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 788707.0, 8893500, 1.0, 776716.0, 9408, 23.0, 788833.0, 10067200, -1828.0, 786045.0, 5822312, -957.0, -1.0, 9408, 1346.0, 789037.0, 10067200,
1, 13.0, 44739.0, 465920, 1.0, 43280.0, 4096, 23.0, 44753.0, 559104, -1828.0, 43242.0, 465920, -442.0, -1.0, 4096, 1346.0, 45195.0, 559104,
2, 13.0, 358547.0, 4199040, 1.0, 357078.0, 36864, 23.0, 358553.0, 4478976, -1828.0, 358222.0, 4199040, -1840.0, 357070.0, 36864, 1346.0, 359858.0, 4478976,
3, 13.0, 265827.0, 2791936, 1.0, 263528.0, 16384, 23.0, 265837.0, 3526656, -1828.0, 263135.0, 2791936, -1656.0, -1.0, 16384, 1346.0, 266272.0, 3526656,
4, 13.0, 231859.0, 2652160, 1.0, 229784.0, 16384, 23.0, 231873.0, 2917376, -1828.0, 231218.0, 2652160, -1656.0, -1.0, 16384, 1346.0, 232233.0, 2917376,
5, 13.0, 578867.0, 6842880, 1.0, 576480.0, 36864, 23.0, 578873.0, 7299072, -1828.0, 577489.0, 6842880, -1840.0, 576472.0, 36864, 1346.0, 580167.0, 7299072,
6, 13.0, 323283.0, 3404800, 1.0, 320480.0, 16384, 23.0, 323293.0, 4300800, -1828.0, 323082.0, 3404800, -1656.0, -1.0, 16384, 1346.0, 323725.0, 4300800,
7, 13.0, 330419.0, 3799040, 1.0, 327448.0, 16384, 23.0, 330433.0, 4178944, -1828.0, 328258.0, 3799040, -1656.0, -1.0, 16384, 1346.0, 331373.0, 4178944,
8, 13.0, 565907.0, 6687360, 1.0, 563574.0, 36864, 23.0, 565913.0, 7133184, -1828.0, 565222.0, 6687360, -1840.0, 563566.0, 36864, 1346.0, 567207.0, 7133184,
9, 13.0, 297747.0, 3132416, 1.0, 295168.0, 16384, 23.0, 297757.0, 3956736, -1828.0, 296642.0, 3132416, -1656.0, -1.0, 16384, 1346.0, 298629.0, 3956736,
