LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 437907.0, 3609984, 1.0, 437817.0, 45696, 23.0, 437906.0, 300832, -1828.0, 422340.0, 152564, -1840.0, 352598.0, 45696, 26843.0, 438340.0, 300832,
1, 13.0, 385907.0, 2437120, 1.0, 385864.0, 60928, 23.0, 385914.0, 203120, -1828.0, 379058.0, 205968, -1840.0, 349536.0, 60928, 35015.0, 385952.0, 203120,
2, 13.0, 385907.0, 2437120, 1.0, 385864.0, 60928, 23.0, 385914.0, 203120, -1828.0, 379058.0, 205968, -1840.0, 349536.0, 60928, 35015.0, 385952.0, 203120,
3, 13.0, 225779.0, 967680, 1.0, 225748.0, 48384, 23.0, 225778.0, 80640, -1828.0, 218272.0, 170856, -1840.0, 171704.0, 48384, 51611.0, 226284.0, 80640,
4, 13.0, 225779.0, 967680, 1.0, 225748.0, 48384, 23.0, 225778.0, 80640, -1828.0, 218272.0, 170856, -1840.0, 171704.0, 48384, 51611.0, 226284.0, 80640,
5, 13.0, 112883.0, 483840, 1.0, 112852.0, 24192, 23.0, 112882.0, 40320, -1828.0, 104853.0, 78968, -1840.0, 85852.0, 24192, 51611.0, 113141.0, 40320,
6, 13.0, 225779.0, 967680, 1.0, 225748.0, 48384, 23.0, 225778.0, 80640, -1828.0, 218272.0, 170856, -1840.0, 171704.0, 48384, 51611.0, 226284.0, 80640,
7, 13.0, 18803.0, 80640, 1.0, 18772.0, 4032, 23.0, 18802.0, 6720, -1288.0, -1.0, 12544, -405.0, -1.0, 4032, 18815.0, 19294.0, 6720,
8, 13.0, 225779.0, 967680, 1.0, 225748.0, 48384, 23.0, 225778.0, 80640, -1828.0, 218272.0, 170856, -1840.0, 171704.0, 48384, 51611.0, 226284.0, 80640,
9, 13.0, 301043.0, 1290240, 1.0, 301012.0, 64512, 23.0, 301042.0, 107520, -1828.0, 280539.0, 253320, -1840.0, 257556.0, 64512, 51611.0, 302151.0, 107520,
10, 13.0, 301043.0, 1290240, 1.0, 301012.0, 64512, 23.0, 301042.0, 107520, -1828.0, 280539.0, 253320, -1840.0, 257556.0, 64512, 51611.0, 302151.0, 107520,
11, 13.0, 150515.0, 645120, 1.0, 150484.0, 32256, 23.0, 150514.0, 53760, -1828.0, 134532.0, 102721, -1840.0, 85852.0, 32256, 51611.0, 151733.0, 53760,
12, 13.0, 301043.0, 1290240, 1.0, 301012.0, 64512, 23.0, 301042.0, 107520, -1828.0, 280539.0, 253320, -1840.0, 257556.0, 64512, 51611.0, 302151.0, 107520,
13, 13.0, 37619.0, 161280, 1.0, 37588.0, 8064, 23.0, 37618.0, 13440, -1828.0, 26979.0, 25544, -810.0, -1.0, 8064, 37631.0, 38590.0, 13440,
14, 13.0, 301043.0, 1290240, 1.0, 301012.0, 64512, 23.0, 301042.0, 107520, -1828.0, 280539.0, 253320, -1840.0, 257556.0, 64512, 51611.0, 302151.0, 107520,
15, 13.0, 128787.0, 336000, 1.0, 128766.0, 33600, 23.0, 128786.0, 28000, -1828.0, 124685.0, 115788, -1840.0, 70522.0, 33600, 84803.0, 129482.0, 28000,
16, 13.0, 128787.0, 336000, 1.0, 128766.0, 33600, 23.0, 128786.0, 28000, -1828.0, 124685.0, 115788, -1840.0, 70522.0, 33600, 84803.0, 129482.0, 28000,
17, 13.0, 25747.0, 67200, 1.0, 25726.0, 6720, 23.0, 25746.0, 5600, -1828.0, 24268.0, 19648, -700.0, -1.0, 6720, 25759.0, 26158.0, 5600,
18, 13.0, 128787.0, 336000, 1.0, 128766.0, 33600, 23.0, 128786.0, 28000, -1828.0, 124685.0, 115788, -1840.0, 70522.0, 33600, 84803.0, 129482.0, 28000,
19, 13.0, 4303.0, 11200, 1.0, 4290.0, 1120, 23.0, 4310.0, 940, -332.0, -1.0, 3136, -148.0, -1.0, 1120, 4323.0, 4390.0, 940,
20, 13.0, 128787.0, 336000, 1.0, 128766.0, 33600, 23.0, 128786.0, 28000, -1828.0, 124685.0, 115788, -1840.0, 70522.0, 33600, 84803.0, 129482.0, 28000,
21, 13.0, 137385.0, 358400, 1.0, 137368.0, 35840, 23.0, 137388.0, 29870, -1828.0, 119487.0, 124280, -1840.0, 70522.0, 35840, 84803.0, 138217.0, 29870,
22, 13.0, 137385.0, 358400, 1.0, 137368.0, 35840, 23.0, 137388.0, 29870, -1828.0, 119487.0, 124280, -1840.0, 70522.0, 35840, 84803.0, 138217.0, 29870,
23, 13.0, 30063.0, 78400, 1.0, 30050.0, 7840, 23.0, 30070.0, 6540, -1828.0, 24175.0, 22952, -810.0, -1.0, 7840, 30083.0, 30550.0, 6540,
24, 13.0, 137385.0, 358400, 1.0, 137368.0, 35840, 23.0, 137388.0, 29870, -1828.0, 119487.0, 124280, -1840.0, 70522.0, 35840, 84803.0, 138217.0, 29870,
25, 13.0, 6427.0, 16800, 1.0, 6406.0, 1680, 23.0, 6426.0, 1400, -479.0, -1.0, 4704, -184.0, -1.0, 1680, 6439.0, 6538.0, 1400,
26, 13.0, 137385.0, 358400, 1.0, 137368.0, 35840, 23.0, 137388.0, 29870, -1828.0, 119487.0, 124280, -1840.0, 70522.0, 35840, 84803.0, 138217.0, 29870,
27, 13.0, 137385.0, 358400, 1.0, 137368.0, 35840, 23.0, 137388.0, 29870, -1828.0, 119487.0, 124280, -1840.0, 70522.0, 35840, 84803.0, 138217.0, 29870,
28, 13.0, 137385.0, 358400, 1.0, 137368.0, 35840, 23.0, 137388.0, 29870, -1828.0, 119487.0, 124280, -1840.0, 70522.0, 35840, 84803.0, 138217.0, 29870,
