LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 437907.0, 3609984, 1.0, 437817.0, 45696, 23.0, 437906.0, 300832, -1828.0, 422340.0, 152564, -1840.0, 352598.0, 45696, 26843.0, 438340.0, 300832,
1, 13.0, 385907.0, 2437120, 1.0, 385864.0, 60928, 23.0, 385914.0, 203120, -1828.0, 379058.0, 205968, -1840.0, 349536.0, 60928, 35015.0, 385952.0, 203120,
2, 13.0, 385907.0, 2437120, 1.0, 385864.0, 60928, 23.0, 385914.0, 203120, -1828.0, 379058.0, 205968, -1840.0, 349536.0, 60928, 35015.0, 385952.0, 203120,
3, 13.0, 385907.0, 2437120, 1.0, 385864.0, 60928, 23.0, 385914.0, 203120, -1828.0, 379058.0, 205968, -1840.0, 349536.0, 60928, 35015.0, 385952.0, 203120,
4, 13.0, 1543539.0, 9748480, 1.0, 1543496.0, 243712, 23.0, 1543546.0, 812400, -1828.0, 1516612.0, 1026224, -1840.0, 1514912.0, 243712, 35015.0, 1543655.0, 812400,
5, 13.0, 385907.0, 2437120, 1.0, 385864.0, 60928, 23.0, 385914.0, 203120, -1828.0, 379058.0, 205968, -1840.0, 349536.0, 60928, 35015.0, 385952.0, 203120,
6, 13.0, 385907.0, 2437120, 1.0, 385864.0, 60928, 23.0, 385914.0, 203120, -1828.0, 379058.0, 205968, -1840.0, 349536.0, 60928, 35015.0, 385952.0, 203120,
7, 13.0, 1543539.0, 9748480, 1.0, 1543496.0, 243712, 23.0, 1543546.0, 812400, -1828.0, 1516612.0, 1026224, -1840.0, 1514912.0, 243712, 35015.0, 1543655.0, 812400,
8, 13.0, 385907.0, 2437120, 1.0, 385864.0, 60928, 23.0, 385914.0, 203120, -1828.0, 379058.0, 205968, -1840.0, 349536.0, 60928, 35015.0, 385952.0, 203120,
9, 13.0, 385907.0, 2437120, 1.0, 385864.0, 60928, 23.0, 385914.0, 203120, -1828.0, 379058.0, 205968, -1840.0, 349536.0, 60928, 35015.0, 385952.0, 203120,
10, 13.0, 1157648.0, 5117952, 1.0, 1157625.0, 243712, 23.0, 1157656.0, 426510, -1828.0, 1137922.0, 1026128, -1840.0, 1136185.0, 243712, 50027.0, 1157851.0, 426510,
11, 13.0, 150515.0, 645120, 1.0, 150484.0, 32256, 23.0, 150514.0, 53760, -1828.0, 134532.0, 102721, -1840.0, 85852.0, 32256, 51611.0, 151733.0, 53760,
12, 13.0, 150515.0, 645120, 1.0, 150484.0, 32256, 23.0, 150514.0, 53760, -1828.0, 134532.0, 102721, -1840.0, 85852.0, 32256, 51611.0, 151733.0, 53760,
13, 13.0, 602099.0, 2580480, 1.0, 602068.0, 129024, 23.0, 602098.0, 215040, -1828.0, 581595.0, 510920, -1840.0, 601052.0, 129024, 51611.0, 602987.0, 215040,
14, 13.0, 150515.0, 645120, 1.0, 150484.0, 32256, 23.0, 150514.0, 53760, -1828.0, 134532.0, 102721, -1840.0, 85852.0, 32256, 51611.0, 151733.0, 53760,
15, 13.0, 150515.0, 645120, 1.0, 150484.0, 32256, 23.0, 150514.0, 53760, -1828.0, 134532.0, 102721, -1840.0, 85852.0, 32256, 51611.0, 151733.0, 53760,
16, 13.0, 602099.0, 2580480, 1.0, 602068.0, 129024, 23.0, 602098.0, 215040, -1828.0, 581595.0, 510920, -1840.0, 601052.0, 129024, 51611.0, 602987.0, 215040,
17, 13.0, 150515.0, 645120, 1.0, 150484.0, 32256, 23.0, 150514.0, 53760, -1828.0, 134532.0, 102721, -1840.0, 85852.0, 32256, 51611.0, 151733.0, 53760,
18, 13.0, 150515.0, 645120, 1.0, 150484.0, 32256, 23.0, 150514.0, 53760, -1828.0, 134532.0, 102721, -1840.0, 85852.0, 32256, 51611.0, 151733.0, 53760,
19, 13.0, 602099.0, 2580480, 1.0, 602068.0, 129024, 23.0, 602098.0, 215040, -1828.0, 581595.0, 510920, -1840.0, 601052.0, 129024, 51611.0, 602987.0, 215040,
20, 13.0, 150515.0, 645120, 1.0, 150484.0, 32256, 23.0, 150514.0, 53760, -1828.0, 134532.0, 102721, -1840.0, 85852.0, 32256, 51611.0, 151733.0, 53760,
21, 13.0, 150515.0, 645120, 1.0, 150484.0, 32256, 23.0, 150514.0, 53760, -1828.0, 134532.0, 102721, -1840.0, 85852.0, 32256, 51611.0, 151733.0, 53760,
22, 13.0, 505330.0, 1419264, 1.0, 505309.0, 129024, 23.0, 505330.0, 118272, -1828.0, 488876.0, 510728, -1840.0, 504455.0, 129024, 78755.0, 505891.0, 118272,
23, 13.0, 68703.0, 179200, 1.0, 68690.0, 17920, 23.0, 68710.0, 14940, -1828.0, 49283.0, 51080, -1804.0, -1.0, 17920, 68723.0, 69790.0, 14940,
24, 13.0, 68703.0, 179200, 1.0, 68690.0, 17920, 23.0, 68710.0, 14940, -1828.0, 49283.0, 51080, -1804.0, -1.0, 17920, 68723.0, 69790.0, 14940,
25, 13.0, 274783.0, 716800, 1.0, 274770.0, 71680, 23.0, 274790.0, 59740, -1828.0, 256885.0, 253080, -1840.0, 211566.0, 71680, 84803.0, 275120.0, 59740,
26, 13.0, 68703.0, 179200, 1.0, 68690.0, 17920, 23.0, 68710.0, 14940, -1828.0, 49283.0, 51080, -1804.0, -1.0, 17920, 68723.0, 69790.0, 14940,
27, 13.0, 68703.0, 179200, 1.0, 68690.0, 17920, 23.0, 68710.0, 14940, -1828.0, 49283.0, 51080, -1804.0, -1.0, 17920, 68723.0, 69790.0, 14940,
