Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,224,224,224,68,3,1,2,
Conv2red,56,56,56,17,64,1,1,
Conv2,56,56,56,17,64,1,1,
Inc3a_1x1,28,28,28,9,192,1,1,
Inc3a_3x3red,28,28,28,9,192,1,1,
Inc3a_3x3,28,28,28,9,96,1,1,
Inc3a_5x5red,28,28,28,9,192,1,1,
Inc3a_5x5,28,28,28,9,16,1,1,
Inc3a_pp,28,28,28,9,192,1,1,
Inc3b_1x1,28,28,28,9,256,1,1,
Inc3b_3x3red,28,28,28,9,256,1,1,
Inc3b_3x3,28,28,28,9,128,1,1,
Inc3b_5x5red,28,28,28,9,256,1,1,
Inc3b_5x5,28,28,28,9,32,1,1,
Inc3b_pp,28,28,28,9,256,1,1,
Inc4a_1x1,14,14,14,5,480,1,1,
Inc4a_3x3red,14,14,14,5,480,1,1,
Inc4a_3x3,14,14,14,5,96,1,1,
Inc4a_5x5red,14,14,14,5,480,1,1,
Inc4a_5x5,14,14,14,5,16,1,1,
Inc4a_pp,14,14,14,5,480,1,1,
Inc4b_1x1,14,14,14,5,512,1,1,
Inc4b_3x3red,14,14,14,5,512,1,1,
Inc4b_3x3,14,14,14,5,112,1,1,
Inc4b_5x5red,14,14,14,5,512,1,1,
Inc4b_5x5,14,14,14,5,24,1,1,
Inc4b_pp,14,14,14,5,512,1,1,
Inc4c_1x1,14,14,14,5,512,1,1,
Inc4c_3x3red,14,14,14,5,512,1,1,
Inc4c_3x3,14,14,14,5,128,1,1,
Inc4c_5x5red,14,14,14,5,512,1,1,
Inc4c_5x5,14,14,14,5,24,1,1,
Inc4c_pp,14,14,14,5,512,1,1,
Inc4d_1x1,14,14,14,5,512,1,1,
Inc4d_3x3red,14,14,14,5,512,1,1,
Inc4d_3x3,14,14,14,5,144,1,1,
Inc4d_5x5red,14,14,14,5,512,1,1,
Inc4d_5x5,14,14,14,5,32,1,1,
Inc4d_pp,14,14,14,5,512,1,1,
Inc4e_1x1,14,14,14,5,528,1,1,
Inc4e_3x3red,14,14,14,5,528,1,1,
Inc4e_3x3,14,14,14,5,160,1,1,
Inc4e_5x5red,14,14,14,5,528,1,1,
Inc4e_5x5,14,14,14,5,32,1,1,
Inc4e_pp,14,14,14,5,528,1,1,
Inc5a_1x1,7,7,7,3,832,1,1,
Inc5a_3x3red,7,7,7,3,532,1,1,
Inc5a_3x3,7,7,7,3,160,1,1,
Inc5a_5x5red,7,7,7,3,832,1,1,
Inc5a_5x5,7,7,7,3,32,1,1,
Inc5a_pp,7,7,7,3,832,1,1,
Inc5b_1x1,7,7,7,3,832,1,1,
Inc5b_3x3red,7,7,7,3,832,1,1,
Inc5b_3x3,7,7,7,3,192,1,1,
Inc5b_5x5red,7,7,7,3,832,1,1,
Inc5b_5x5,7,7,7,3,32,1,1,
Inc5b_pp,7,7,7,3,832,1,1,
