Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, 
Conv1_1,224,224,224,68,3,1,1,
Conv1_2,224,224,224,68,64,1,1,
Conv2_1,112,112,112,34,64,1,1,
Conv2_2,112,112,112,34,128,1,1,
Conv3_1,56,56,56,17,128,1,1,
Conv3_2,56,56,56,17,256,1,1,
Conv3_3,56,56,56,17,256,1,1,
Conv3_4,56,56,56,17,256,1,1,
Conv4_1,28,28,28,9,256,1,1,
Conv4_2,28,28,28,9,512,1,1,
Conv4_3,28,28,28,9,512,1,1,
Conv4_4,28,28,28,9,512,1,1,
Conv5_1,14,14,14,5,512,1,1,
Conv5_2,14,14,14,5,512,1,1,
Conv5_3,14,14,14,5,512,1,1,
Conv5_4,14,14,14,5,512,1,1,
